app_name,app_id,user_name,score,content,thumbs_up_count,review_date,cleaned_text,processed_text,sentiment_label,sentiment_score
Netflix,com.netflix.mediaclient,Danish Mikail,3,"kenapa banyak film yang ga ada, pdhl udh byr loh",0,2025-04-04 16:38:14,kenapa banyak film yang ga ada pdhl udh byr loh,kenapa banyak film ga pdhl udh byr loh,neutral,1
Shopee,com.shopee.id,ika muci,3,trimakasi shopee,0,2025-04-11 16:23:03,trimakasi shopee,trimakasi shopee,neutral,1
Gojek,com.gojek.app,Jan Adun,5,bagus,0,2025-04-11 11:38:53,bagus,bagus,positive,2
Netflix,com.netflix.mediaclient,Suardi Wiwi,3,hot,0,2025-04-09 01:27:59,hot,hot,neutral,1
Gojek,com.gojek.app,Angga Dika wong,5,Nyaman dan murah,0,2025-04-11 07:42:24,nyaman dan murah,nyaman murah,positive,2
Netflix,com.netflix.mediaclient,ester sitanggang,1,"apk gila.. udah dibayar masih aja ada peringatan ""pembayaran ditunda"" ngga gitu juga konsepnya.. jangan dipermainkan seperti ini dong kan sayang apk yang sudah dibayar. jelek banget pun sumpah, ngga ngerti maunya apa ini apk.",2,2025-04-01 22:46:07,apk gila udah dibayar masih aja ada peringatan pembayaran ditunda ngga gitu juga konsepnya jangan dipermainkan seperti ini dong kan sayang apk yang sudah dibayar jelek banget pun sumpah ngga ngerti maunya apa ini apk,apk gila udah bayar masih aja ingat bayar tunda ngga gitu konsep jangan main seperti dong kan sayang apk sudah bayar jelek banget pun sumpah ngga ngerti mau apa apk,negative,0
Jenius,com.btpn.dc,Hamdan,1,Kak saya kena keluar apk mau masuk harus kecall center tapi g djwb,0,2025-03-01 17:19:05,kak saya kena keluar apk mau masuk harus kecall center tapi g djwb,kak kena keluar apk mau masuk harus kecall center tapi g djwb,negative,0
Lazada,com.lazada.android,Enno Yusnimar enno,5,"senangnya Selalu, kecewanya adalah",0,2025-04-11 13:30:44,senangnya selalu kecewanya adalah,senang selalu kecewa,positive,2
Jenius,com.btpn.dc,ojol lali,3,"buka tabungannya susah,pas buat password terjadi kesalahan terus.",0,2025-04-03 17:49:24,buka tabungannya susahpas buat password terjadi kesalahan terus,buka tabung susahpas buat password jadi salah terus,neutral,1
Lazada,com.lazada.android,DoN Deng,5,Muda dan pengiriman cepat.,0,2025-04-10 18:00:17,muda dan pengiriman cepat,muda kirim cepat,positive,2
Telkomsel,com.telkomsel.telkomselcm,Jujun Junaedi,1,"kenapa si apk ini legnya parah pahal sinya bagus kouta ada, masih ajah lag. kesel banget lama lama gw ganti juga ni kartu, gw mau beli kouta ajah mesti minta hotspot dulu beli pake jaringa si bapuk Telkomsel ini najis, kaga bisa bisa",0,2025-04-11 13:40:31,kenapa si apk ini legnya parah pahal sinya bagus kouta ada masih ajah lag kesel banget lama lama gw ganti juga ni kartu gw mau beli kouta ajah mesti minta hotspot dulu beli pake jaringa si bapuk telkomsel ini najis kaga bisa bisa,kenapa si apk legnya parah pahal sinya bagus kouta masih ajah lag kesel banget lama lama gw ganti ni kartu gw mau beli kouta ajah mesti minta hotspot dulu beli pake jaringa si bapuk telkomsel najis kaga,negative,0
Tokopedia,com.tokopedia.tkpd,Fandy Maidwicky Salyu,1,FLASHSALE GIMMICK,0,2025-04-10 06:07:13,flashsale gimmick,flashsale gimmick,negative,0
Instagram,com.instagram.android,sopian hidayat,5,semoga lebih baik,0,2025-04-06 09:31:44,semoga lebih baik,moga lebih baik,positive,2
Shopee,com.shopee.id,Infinix infinix,5,Banyak memberikan informasi tentang pesanan,0,2025-04-11 17:19:27,banyak memberikan informasi tentang pesanan,banyak beri informasi tentang pesan,positive,2
Jenius,com.btpn.dc,Agung Prakosa,3,Aplikasi sangat Lambat....... Tidak Responsif...,2,2025-03-29 13:34:33,aplikasi sangat lambat tidak responsif,aplikasi sangat lambat responsif,neutral,1
Telkomsel,com.telkomsel.telkomselcm,Sarpin Aljamik,3,"Untuk pihak apl mytelkosel, di harapkan untuk meninjau ulang aplikasi yang saat ini karena sering nya bermasalah, salah satu nya tidak bisa di buka meskipun dalam keadaan sinyal bagus. dan masih banyak permasalahan yang lain lagi.",0,2025-04-11 17:23:50,untuk pihak apl mytelkosel di harapkan untuk meninjau ulang aplikasi yang saat ini karena sering nya bermasalah salah satu nya tidak bisa di buka meskipun dalam keadaan sinyal bagus dan masih banyak permasalahan yang lain lagi,pihak apl mytelkosel harap tinjau ulang aplikasi saat sering nya masalah salah satu nya buka meski dalam ada sinyal bagus masih banyak masalah lain lagi,neutral,1
Instagram,com.instagram.android,Ripan Pan,4,Ketemu orang,0,2025-04-06 03:03:15,ketemu orang,ketemu orang,positive,2
Shopee,com.shopee.id,Wisnu Aditiya,5,bagus buat per belanjaan,0,2025-04-11 15:55:29,bagus buat per belanjaan,bagus buat per belanja,positive,2
Tokopedia,com.tokopedia.tkpd,Jalan Kebenaran,3,3 aja dlu,0,2025-04-10 08:04:45,aja dlu,aja dlu,neutral,1
Grab,com.grabtaxi.passenger,donwload film,1,Ig nggak bisa di buka,0,2025-04-10 01:41:02,ig nggak bisa di buka,ig nggak buka,negative,0
Tokopedia,com.tokopedia.tkpd,Ayuni Rahayu,1,saya menjual barang dan buka toko di Tokopedia. dan bermasalah dari pembeli. tpu lemot bagt penanganan nya sudah satu Minggu di gantung tanpa kejelasn,0,2025-04-10 06:17:49,saya menjual barang dan buka toko di tokopedia dan bermasalah dari pembeli tpu lemot bagt penanganan nya sudah satu minggu di gantung tanpa kejelasn,jual barang buka toko tokopedia masalah beli tpu lot bagt tangan nya sudah satu minggu gantung tanpa kejelasn,negative,0
Netflix,com.netflix.mediaclient,ocha cece,3,kenapa subtitle tidak bisa beralih bahasa,0,2025-04-10 10:03:06,kenapa subtitle tidak bisa beralih bahasa,kenapa subtitle alih bahasa,neutral,1
Jenius,com.btpn.dc,Mugi I J,1,"tidak ada menu cari, mau unlink device saja susah. informasinya harus klik update for you tapi menu nya sendiri tidak ada .",0,2025-04-02 12:27:48,tidak ada menu cari mau unlink device saja susah informasinya harus klik update for you tapi menu nya sendiri tidak ada,menu cari mau unlink device saja susah informasi harus klik update tapi menu nya sendiri,negative,0
Netflix,com.netflix.mediaclient,I am Alya :D,5,"apk nya bagus, kadang saya pke nonton anime atau film horor. Tapi kenapa kalau saya screenshot hasil hitam? tolong di perbaiki:))",1,2025-04-05 15:40:52,apk nya bagus kadang saya pke nonton anime atau film horor tapi kenapa kalau saya screenshot hasil hitam tolong di perbaiki,apk nya bagus kadang pke nonton anime film horor tapi kenapa kalau screenshot hasil hitam tolong baik,positive,2
Telkomsel,com.telkomsel.telkomselcm,Putra Nanda,1,"update terbaru, ngikutin tautannya malah aplikasinya ngelag parah ngerembet ke app tiktok ga bisa di buka, lalu ke hapenya ngeblank, uda panik takutnya tautan penipu sialan, ternyata emng tautan resmi Telkomsel, tp kenapa jd kusut begini ya?",0,2025-04-11 14:50:49,update terbaru ngikutin tautannya malah aplikasinya ngelag parah ngerembet ke app tiktok ga bisa di buka lalu ke hapenya ngeblank uda panik takutnya tautan penipu sialan ternyata emng tautan resmi telkomsel tp kenapa jd kusut begini ya,update baru ngikutin taut malah aplikasi ngelag parah ngerembet app tiktok ga buka lalu hapenya ngeblank uda panik takut taut tipu sial nyata emng taut resmi telkomsel tp kenapa jd kusut begini ya,negative,0
Telkomsel,com.telkomsel.telkomselcm,Maikki Giovanni,2,"diperbaiki lagi untuk masalah jaringan.. Buka aplikasi ini saja, loadingnya lama walaupun sudah pakai Indihome sekalipun..",0,2025-04-11 12:57:09,diperbaiki lagi untuk masalah jaringan buka aplikasi ini saja loadingnya lama walaupun sudah pakai indihome sekalipun,baik lagi masalah jaring buka aplikasi saja loadingnya lama walaupun sudah pakai indihome sekalipun,negative,0
Telkomsel,com.telkomsel.telkomselcm,Rita Hafifah,3,Sering eror aplikasinya,0,2025-04-11 09:55:09,sering eror aplikasinya,sering eror aplikasi,neutral,1
Tokopedia,com.tokopedia.tkpd,Rinto Rinto,1,"bintang satu gan, hati2 transaksi di aplikasi ini terutama melalui virtual bank atau lain nya yg bayar duluan,rawan oknum2 nakal di dalam nya... pengalaman saya 2 hari lalu , beli komik 1 set harga total semua termasuk ongkir Rp 528.300 via bank ternyata di cancel alasan tidak masuk akal juga karena ongkir kosong terus dana yang di refund tidak full cuman Rp 364.900 otomatis Rp 163.400 ntah kemana...sudah komplen ke cs nya tidak ada tanda2 bakal serius di balikin seolah2 sistem nya sudah benar",2,2025-04-11 10:01:49,bintang satu gan hati transaksi di aplikasi ini terutama melalui virtual bank atau lain nya yg bayar duluanrawan oknum nakal di dalam nya pengalaman saya hari lalu beli komik set harga total semua termasuk ongkir rp via bank ternyata di cancel alasan tidak masuk akal juga karena ongkir kosong terus dana yang di refund tidak full cuman rp otomatis rp ntah kemanasudah komplen ke cs nya tidak ada tanda bakal serius di balikin seolah sistem nya sudah benar,bintang satu gan hati transaksi aplikasi utama lalu virtual bank lain nya yg bayar duluanrawan oknum nakal dalam nya alam hari lalu beli komik set harga total semua masuk ongkir rp via bank nyata cancel alas masuk akal ongkir kosong terus dana refund full cuman rp otomatis rp ntah kemanasudah komplen cs nya tanda bakal serius balikin olah sistem nya sudah benar,negative,0
Shopee,com.shopee.id,Endry Wicaksono,4,"Karena upload video untuk barang yg sudah dikirim terbatas durasi waktunya, tolong tambahkan fitur EDIT VIDEO-nya supaya memudahkan. Karena sy terbiasa ambil video dr kamera langsung drpd dari aplikasi Shopee. Dan kenapa kirim video via chat penjual susah sekali terkirimnya??",530,2025-04-11 16:52:16,karena upload video untuk barang yg sudah dikirim terbatas durasi waktunya tolong tambahkan fitur edit videonya supaya memudahkan karena sy terbiasa ambil video dr kamera langsung drpd dari aplikasi shopee dan kenapa kirim video via chat penjual susah sekali terkirimnya,upload video barang yg sudah kirim batas durasi waktu tolong tambah fitur edit video supaya mudah sy biasa ambil video dr kamera langsung drpd aplikasi shopee kenapa kirim video via chat jual susah sekali kirim,positive,2
Tokopedia,com.tokopedia.tkpd,Devi Saputri,1,sangat kecewa dengan tokopedia saya beli 2 barang promo tpi waktu saya co barang yg dikirim tidak sesuai dan link produknya sudah dihapus,0,2025-04-11 09:16:07,sangat kecewa dengan tokopedia saya beli barang promo tpi waktu saya co barang yg dikirim tidak sesuai dan link produknya sudah dihapus,sangat kecewa tokopedia beli barang promo tpi waktu co barang yg kirim sesuai link produk sudah hapus,negative,0
Instagram,com.instagram.android,Iip Saripudin,5,bagus istrtragam semoga lebih maju,0,2025-04-05 21:15:51,bagus istrtragam semoga lebih maju,bagus istrtragam moga lebih maju,positive,2
Tokopedia,com.tokopedia.tkpd,Adji Xplor Channel,1,"aduh nyesel saya melaporkan tindakan penjual yang akan melakukan penipuan, malah akun tokopedia saya di blokir, ngga bisa buat transaksi sama sekali, ini kenapa tokopedia care respon sangat lambat banget sie, kerja ngga sie",0,2025-04-11 08:53:45,aduh nyesel saya melaporkan tindakan penjual yang akan melakukan penipuan malah akun tokopedia saya di blokir ngga bisa buat transaksi sama sekali ini kenapa tokopedia care respon sangat lambat banget sie kerja ngga sie,aduh nyesel lapor tindak jual laku tipu malah akun tokopedia blokir ngga buat transaksi sama sekali kenapa tokopedia care respon sangat lambat banget sie kerja ngga sie,negative,0
Jenius,com.btpn.dc,b ariateja,1,"saat topup GO-PAY saldo saya ke potong 1,5jt, tapi topup gopay nggak masuk, disuruh nunggu sampai libur lebaran dengan estimasi kurang lebih 5 hari kerja, padahal kesalahan sistemnya. Nggak di prioritaskan walau sudah teriak sana sini, nggak nyaman sekali",11,2025-03-27 16:30:36,saat topup gopay saldo saya ke potong jt tapi topup gopay nggak masuk disuruh nunggu sampai libur lebaran dengan estimasi kurang lebih hari kerja padahal kesalahan sistemnya nggak di prioritaskan walau sudah teriak sana sini nggak nyaman sekali,saat topup gopay saldo potong jt tapi topup gopay nggak masuk suruh nunggu sampai libur lebaran estimasi kurang lebih hari kerja padahal salah sistem nggak prioritas walau sudah teriak sana sini nggak nyaman sekali,negative,0
Grab,com.grabtaxi.passenger,Evi Rahayoe,5,"sangat membantu,",0,2025-04-10 15:13:04,sangat membantu,sangat bantu,positive,2
Telkomsel,com.telkomsel.telkomselcm,Setyadi Rachmat Maulana,3,baru instal lagi malah ada bug tolong diperbaiki saya gabisa masuk aplikasi,0,2025-04-11 09:51:20,baru instal lagi malah ada bug tolong diperbaiki saya gabisa masuk aplikasi,baru instal lagi malah bug tolong baik gabisa masuk aplikasi,neutral,1
BRImo,id.co.bri.brimo,abdul khalik,5,mantap,0,2025-04-11 09:38:37,mantap,mantap,positive,2
Lazada,com.lazada.android,Semangat Optimis,3,sebagi mintra jangan sampai di cewakan,0,2025-04-11 06:40:12,sebagi mintra jangan sampai di cewakan,bagi mintra jangan sampai cewakan,neutral,1
Gojek,com.gojek.app,Milikmu Official,1,"pengiriman gosend instant udah lebih dari satu hari nunggu di pick up, percuma bayar lebih mahal biar barang cepet sampe, malah di delay sama aja kayak pengiriman reguler. . Rugi nominal, rugi waktu, rugi semua",0,2025-04-10 19:02:58,pengiriman gosend instant udah lebih dari satu hari nunggu di pick up percuma bayar lebih mahal biar barang cepet sampe malah di delay sama aja kayak pengiriman reguler rugi nominal rugi waktu rugi semua,kirim gosend instant udah lebih satu hari nunggu pick percuma bayar lebih mahal biar barang cepet sampe malah delay sama aja kayak kirim reguler rugi nominal rugi waktu rugi semua,negative,0
Netflix,com.netflix.mediaclient,Irfan syafiq,1,satu kali salah sandi tidak bisa lagi. sekelas netflix lho... payah👎,0,2025-03-30 13:47:05,satu kali salah sandi tidak bisa lagi sekelas netflix lho payah,satu kali salah sandi lagi kelas netflix lho payah,negative,0
Netflix,com.netflix.mediaclient,Muhamad Lutfi Ardiansyah,3,update anime one piece lama aneh banget najis,0,2025-04-06 12:21:51,update anime one piece lama aneh banget najis,update anime one piece lama aneh banget najis,neutral,1
Jenius,com.btpn.dc,Marleni Wau,1,Membantu sekali transaksi di rumAh tanpa harus ke ATM lagi👍,0,2025-03-22 10:26:22,membantu sekali transaksi di rumah tanpa harus ke atm lagi,bantu sekali transaksi rumah tanpa harus atm lagi,negative,0
Grab,com.grabtaxi.passenger,Latifah Latifah,5,puas,0,2025-04-10 09:40:57,puas,puas,positive,2
Gojek,com.gojek.app,Devauno Azzaidane Utama,5,Aplikasi andalan gw kalo laper 🔥🔥🔥,0,2025-04-10 12:30:27,aplikasi andalan gw kalo laper,aplikasi andal gw kalo laper,positive,2
Telkomsel,com.telkomsel.telkomselcm,Nofri Andi,1,"harga paket mahal, jaringan sulit. apaan? disuruh bayar mahal tapi tidak sebanding dengan pelayanan. untuk wilayah Sumatra akan Pindak ke lain kayanya kalau tidak ada perbaikan pelayanan",0,2025-04-11 17:14:59,harga paket mahal jaringan sulit apaan disuruh bayar mahal tapi tidak sebanding dengan pelayanan untuk wilayah sumatra akan pindak ke lain kayanya kalau tidak ada perbaikan pelayanan,harga paket mahal jaring sulit apa suruh bayar mahal tapi banding layan wilayah sumatra pindak lain kaya kalau baik layan,negative,0
Grab,com.grabtaxi.passenger,Iis nawati,5,baik,0,2025-04-10 07:06:23,baik,baik,positive,2
Telkomsel,com.telkomsel.telkomselcm,aprial andika,1,"aplikasinya kok ngelag, harus uninstall dulu trus install balik baru bisa bagus , kan gak enak, tolonglah mytelkomsel, masa jaringan bagus tapi begitu buka aplikasi mytelkomsel tiba-tiba ngelag",0,2025-04-11 13:11:28,aplikasinya kok ngelag harus uninstall dulu trus install balik baru bisa bagus kan gak enak tolonglah mytelkomsel masa jaringan bagus tapi begitu buka aplikasi mytelkomsel tibatiba ngelag,aplikasi kok ngelag harus uninstall dulu trus install balik baru bagus kan gak enak tolong mytelkomsel masa jaring bagus tapi begitu buka aplikasi mytelkomsel tibatiba ngelag,negative,0
Tokopedia,com.tokopedia.tkpd,Priscilla Wen,3,"sejak ditinggal founder tokped jd kacau! jarang kasih vc diskon. Refund biaya daftar kartu debit gk pernah ada ! Refund dana pembatalan/komplain retur hrs tunggu 14hari kerja kdg belum masuk jg... Alasan refund jg opsi terbatas. Pembatalan nunggu otomatis lama sementara penjual masa 😵bodoh, jd ingat hrs chat dulu. Klaim asuransi makin ribet hrs isi form dan KTP asli. Adm Dylan jg kurang bs memberi solusi memuaskan. Cs ada telp tp gk kasih kompensasi ataupun perubahan trus gapain sih telp?!",10,2025-04-10 13:41:47,sejak ditinggal founder tokped jd kacau jarang kasih vc diskon refund biaya daftar kartu debit gk pernah ada refund dana pembatalankomplain retur hrs tunggu hari kerja kdg belum masuk jg alasan refund jg opsi terbatas pembatalan nunggu otomatis lama sementara penjual masa bodoh jd ingat hrs chat dulu klaim asuransi makin ribet hrs isi form dan ktp asli adm dylan jg kurang bs memberi solusi memuaskan cs ada telp tp gk kasih kompensasi ataupun perubahan trus gapain sih telp,sejak tinggal founder tokped jd kacau jarang kasih vc diskon refund biaya daftar kartu debit gk pernah refund dana pembatalankomplain retur hrs tunggu hari kerja kdg belum masuk jg alas refund jg opsi batas batal nunggu otomatis lama sementara jual masa bodoh jd ingat hrs chat dulu klaim asuransi makin ribet hrs isi form ktp asli adm dylan jg kurang bs beri solusi muas cs telp tp gk kasih kompensasi atau ubah trus gapain sih telp,neutral,1
Gojek,com.gojek.app,Maulana Firmansyah,1,"aplikasi gak jelas nunggu makanan udah 1 jam lebih gak dapet driver trus padahal hujan aja nggak, masih jam 4 sore di kota padahal rame ojol",0,2025-04-10 17:30:46,aplikasi gak jelas nunggu makanan udah jam lebih gak dapet driver trus padahal hujan aja nggak masih jam sore di kota padahal rame ojol,aplikasi gak jelas nunggu makan udah jam lebih gak dapet driver trus padahal hujan aja nggak masih jam sore kota padahal rame ojol,negative,0
BRImo,id.co.bri.brimo,Citi Cz,3,"serba di permudah,tingkatkan terus keamanannya.",0,2025-04-10 22:09:45,serba di permudahtingkatkan terus keamanannya,serba permudahtingkatkan terus aman,neutral,1
Tokopedia,com.tokopedia.tkpd,Zaini Dahlan,5,toko pedia skrng gak kayak dulu lagi . sellernya ada yg ngeselin . di ordert barang di proses. tp gak di kirim kirim . nunggu batal otomatis kadang lama . ada yg SMPK 10 HR. tolong toped . pilih pilih seller ya . biar konsumen tidak kecewa .,0,2025-04-10 00:25:13,toko pedia skrng gak kayak dulu lagi sellernya ada yg ngeselin di ordert barang di proses tp gak di kirim kirim nunggu batal otomatis kadang lama ada yg smpk hr tolong toped pilih pilih seller ya biar konsumen tidak kecewa,toko dia skrng gak kayak dulu lagi sellernya yg ngeselin ordert barang proses tp gak kirim kirim nunggu batal otomatis kadang lama yg smpk hr tolong toped pilih pilih seller ya biar konsumen kecewa,positive,2
Tokopedia,com.tokopedia.tkpd,Santa,3,"promonya sih sudah Bagus tapi kurirnya itu loh katanya kurir rekomendasi tapi lelet, sudah mahal lelet bgt ga kek toko sebelah padahal gue kalo belanja ditoko sebelah walaupun jasa kirimnya sama tapi ga lelet kek beli ditoko ini, perbaiki lah",0,2025-04-11 07:49:04,promonya sih sudah bagus tapi kurirnya itu loh katanya kurir rekomendasi tapi lelet sudah mahal lelet bgt ga kek toko sebelah padahal gue kalo belanja ditoko sebelah walaupun jasa kirimnya sama tapi ga lelet kek beli ditoko ini perbaiki lah,promonya sih sudah bagus tapi kurir loh kata kurir rekomendasi tapi lelet sudah mahal lelet bgt ga kek toko belah padahal gue kalo belanja toko belah walaupun jasa kirim sama tapi ga lelet kek beli toko baik lah,neutral,1
Lazada,com.lazada.android,Erik Susanto,1,"ongkir yang g ngotak sudah pakai ongkir gratis tapi tetap mahal ongkir di banding barang yang mau saya pesan,,, kalo diteruskan pasti kalah saing sama toko toko sebelah,,,,, maaf aku hapus",0,2025-04-11 08:32:06,ongkir yang g ngotak sudah pakai ongkir gratis tapi tetap mahal ongkir di banding barang yang mau saya pesan kalo diteruskan pasti kalah saing sama toko toko sebelah maaf aku hapus,ongkir g ngotak sudah pakai ongkir gratis tapi tetap mahal ongkir banding barang mau pesan kalo terus pasti kalah saing sama toko toko belah maaf aku hapus,negative,0
Tokopedia,com.tokopedia.tkpd,Tika Elviyani,3,baik,0,2025-04-10 18:24:53,baik,baik,neutral,1
Instagram,com.instagram.android,Orangutan Bungalow,5,sangat membantu sekali untuk saya dan team mengenalkan sebuah bungalow kecil yang berada di tepi taman nasional gunung leuser,0,2025-04-05 21:04:46,sangat membantu sekali untuk saya dan team mengenalkan sebuah bungalow kecil yang berada di tepi taman nasional gunung leuser,sangat bantu sekali team kenal buah bungalow kecil ada tepi taman nasional gunung leuser,positive,2
BRImo,id.co.bri.brimo,Citi Cz,3,"serba di permudah,tingkatkan terus keamanannya.",0,2025-04-10 22:09:45,serba di permudahtingkatkan terus keamanannya,serba permudahtingkatkan terus aman,neutral,1
Tokopedia,com.tokopedia.tkpd,Genu,1,"tolong perbaiki kenyamanan pengguna...!!! baru juga cekout..tiba"" toko tutup permanen karna dicurigai indikasi penipuan. harusnya bisa dibatalkan sepihak oleh pembeli,gusah nunggu keputusan penjual...",0,2025-04-09 23:22:50,tolong perbaiki kenyamanan pengguna baru juga cekouttiba toko tutup permanen karna dicurigai indikasi penipuan harusnya bisa dibatalkan sepihak oleh pembeligusah nunggu keputusan penjual,tolong baik nyaman guna baru cekouttiba toko tutup permanen karna curiga indikasi tipu harus batal pihak oleh pembeligusah nunggu putus jual,negative,0
Lazada,com.lazada.android,Irfan Maulana,5,terjamin aman,0,2025-04-10 18:38:17,terjamin aman,jamin aman,positive,2
Jenius,com.btpn.dc,andri permana,1,ternyata ada admin bulanan yah klo bikin akun jenius. saya baru isi saldo. bikinya udh lama. langsung ke potong 90rb admin bulan dari BLN juli 24 - Mart 25,0,2025-04-01 11:26:44,ternyata ada admin bulanan yah klo bikin akun jenius saya baru isi saldo bikinya udh lama langsung ke potong rb admin bulan dari bln juli mart,nyata admin bulan yah klo bikin akun jenius baru isi saldo bik udh lama langsung potong rb admin bulan bln juli mart,negative,0
Gojek,com.gojek.app,Pincuk Official,1,dicansel mulu,0,2025-04-10 15:06:13,dicansel mulu,dicansel mulu,negative,0
Jenius,com.btpn.dc,mono surat,1,"aplikasi ga worth it, saya saranin nyari aplikasi lain, jngn ini ga worth it, nyesel ujung""nya",0,2025-04-05 22:13:28,aplikasi ga worth it saya saranin nyari aplikasi lain jngn ini ga worth it nyesel ujungnya,aplikasi ga worth saranin nyari aplikasi lain jngn ga worth nyesel ujung,negative,0
Jenius,com.btpn.dc,Afif Fatur,1,Mulai tgl 10 Maret 2025 saya hapus apk ini soalnya tidak jelas dan data saya mohon di hapus jika ada kendala saya tidak tanggung jawab,0,2025-03-10 10:05:43,mulai tgl maret saya hapus apk ini soalnya tidak jelas dan data saya mohon di hapus jika ada kendala saya tidak tanggung jawab,mulai tgl maret hapus apk soal jelas data mohon hapus jika kendala tanggung jawab,negative,0
Instagram,com.instagram.android,JUAN FAIRUZ BRAWIBAWA,3,"sebagai pengguna saya merasa update Instagram akhir akhir ini agak menyebalkan, dan mengecewakan. Dari mulai grid yang berubah, hingga ke catatan pada reels/foto yang dihapus. Ini kecil, tapi membuat Instagram serasa kehilangan ""Jati dirinya"". Tolong kedepannya lebih diperhatikan!",128,2025-04-05 21:15:53,sebagai pengguna saya merasa update instagram akhir akhir ini agak menyebalkan dan mengecewakan dari mulai grid yang berubah hingga ke catatan pada reelsfoto yang dihapus ini kecil tapi membuat instagram serasa kehilangan jati dirinya tolong kedepannya lebih diperhatikan,bagai guna rasa update instagram akhir akhir agak sebal kecewa mulai grid ubah hingga catat reelsfoto hapus kecil tapi buat instagram serasa hilang jati diri tolong depan lebih perhati,neutral,1
Jenius,com.btpn.dc,Tosca Jalerio,1,tolong eror ga bisa login diperbaiki segera,1,2025-03-26 09:25:34,tolong eror ga bisa login diperbaiki segera,tolong eror ga login baik segera,negative,0
Lazada,com.lazada.android,Vanell Maulana,1,pinjem lazadabon setiap bayar blom jatuh tempo. tapi baru sekali telat sehari buseeeet dah. di telponinnya galak galak banget,0,2025-04-11 16:25:51,pinjem lazadabon setiap bayar blom jatuh tempo tapi baru sekali telat sehari buseeeet dah di telponinnya galak galak banget,pinjem lazadabon tiap bayar blom jatuh tempo tapi baru sekali telat hari buseeeet dah telponinnya galak galak banget,negative,0
Instagram,com.instagram.android,niko Adityaa,2,tidak bisa login,0,2025-04-05 21:51:41,tidak bisa login,login,negative,0
BRImo,id.co.bri.brimo,Assadul Usud,3,tidak bisa upload foto ktp. bintang 3 dulu,0,2025-04-11 16:28:52,tidak bisa upload foto ktp bintang dulu,upload foto ktp bintang dulu,neutral,1
Telkomsel,com.telkomsel.telkomselcm,Putu Artana,2,terlalu banyak bug,0,2025-04-11 08:38:23,terlalu banyak bug,terlalu banyak bug,negative,0
